num_favorites,num_followers,num_friends,num_statuses,retweet_avg,username
1312,23371,83,10597,20.01,AggieMensHoops
7,60063,307,11501,106.23,APlayersProgram
2602,3513,523,20058,8.3,ashevilledogs
97,2647,1293,5020,18.9,AustinPeayMBB
2277,159120,409,25078,64.76,BadgerMBB
492,29728,35,16528,15.1,BaylorMBB
3599,27462,104,12993,43.22,ButlerMBB
1884,12217,581,11818,22.1,CalMensBBall
3148,32869,287,16498,30.75,CanesHoops
303,871,221,487,43.14,CSUB_MBB
895,15277,296,9355,8,CUBuffsMBB
225,18580,134,5081,61.39,Cuse_MBB
3482,24619,505,8265,23.52,DaytonMBB
187,90314,302,14179,50.4,Duke_MBB
52,10301,239,10279,51.36,FGCU_MBB
2089,3026,186,4731,53.38,FresnoStateMBB
396,3696,310,8424,15.02,gbphoenixmbb
1,3811,285,459,19.75,GoBearcatsMBB
132,4707,93,4133,21.88,GoJacksMBB
2753,3184,241,7959,11.94,GoMocsMBB
10306,50949,577,22498,33.09,GoShockers
1176,15992,398,7521,27.34,HailToPittHoops
8,921,113,3097,10.36,Hampton_MBB
5,2468,69,2946,50.96,HawaiiMBB
237,2156,40,3016,67.12,HCrossMBB
5084,103845,188,10253,94.17,IndianaMBB
109,761,113,1027,19.86,IonaGaelsMBB
1779,79906,70,12056,30.82,IowaHoops
25,272363,566,13410,161.51,KentuckyMBB
10454,150058,180,9918,126.18,KUHoops
1267,2381,212,5956,15.92,LittleRockMBB
46,133034,479,11273,179.65,MSU_Basketball
3080,5248,2449,12349,24.44,MT_MBB
1062,119506,149,12335,57.93,NDmbb
1315,35581,269,7057,14.09,NovaMBB
5270,34074,556,14666,73.63,OregonMBB
235,12990,189,17288,34.81,OregonStateMBB
6982,105684,2416,11514,44.73,OU_MBBall
1882,20400,1700,14674,17.14,PCAthletics
400,10174,331,5840,92.46,PurdueBball
524,25064,201,6660,42.98,Runnin_Utes
1451,6251,122,8237,38.55,SetonHallMBB
269,6440,72,6548,59.48,SFA_MBB
13,5318,93,3030,37.22,SJUHawks_MBB
361,2289,303,4429,32.05,StonyBrookMBB
56,47705,186,6213,49.49,TerrapinHoops
1783,28991,87,11400,79.04,TexasMBB
82,4417,86,4003,20.51,TexasTechMBB
239,159297,54,26588,37.29,TheIowaHawkeyes
945,8923,196,4818,36.85,TUMBBHoops
142,4016,96,729,19.8,UBmenshoops
6872,48062,90,6709,37.25,UConnMBB
10,295799,17,17003,355.43,UNC_Basketball
411,4283,11,9343,36.2,uncwmenshoops
503,6079,92,2422,13.89,UNImbb
946,8274,136,4048,36.4,USC_Hoops
229,43389,448,7467,36.28,UVAMensHoops
909,3429,143,1402,25.59,VCU_Hoops
9,1947,143,1798,17.38,WeberStateMBB
16,54252,56,6366,44.05,WVUhoops
2540,13579,443,2446,35.9,XavierMBB
25,2274,582,5007,13.01,Yale_Basketball
81,27660,510,3944,103.05,ZagMBB
