seed,conference,seed_conference,team,twitter_handle,round_reached
2,south,2south,villanova,novambb,1
1,east,1east,north carolina,unc_basketball,2
2,west,2west,oklahoma,ou_mbball,4
10,midwest,10midwest,syracuse,cuse_mbb,4
1,south,1south,kansas,kuhoops,8
6,east,6east,notre dame,ndmbb,8
1,west,1west,oregon,oregonmbb,8
1,midwest,1midwest,virginia,uvamenshoops,8
4,west,4west,duke,duke_mbb,16
11,midwest,11midwest,gonzaga,zagmbb,16
5,east,5east,indiana,indianambb,16
4,midwest,4midwest,iowa state,iowahoops,16
5,south,5south,maryland,terrapinhoops,16
3,south,3south,miami florida,caneshoops,16
3,west,3west,texas a&m,aggiemenshoops,16
7,east,7east,wisconsin,badgermbb,16
9,midwest,9midwest,butler,butlermbb,32
9,south,9south,connecticut,uconnmbb,32
13,south,13south,hawaii,hawaiimbb,32
7,south,7south,iowa,theiowahawkeyes,32
4,east,4east,kentucky,kentuckymbb,32
15,midwest,15midwest,middle tennessee,mt_mbb,32
9,east,9east,providence,pcathletics,32
8,west,8west,saint josephs,sjuhawks_mbb,32
14,east,14east,stephen f austin,sfa_mbb,32
11,west,11west,uni,unimbb,32
3,midwest,3midwest,utah,runnin_utes,32
10,west,10west,vcu,vcu_hoops,32
11,south,11south,wichita state,goshockers,32
2,east,2east,xavier,xaviermbb,32
12,west,12west,yale,yale_basketball,32
6,south,6south,arizona,aplayersprogram,64
16,south,16south,austin peay,austinpeaymbb,64
5,west,5west,baylor,baylormbb,64
14,south,14south,buffalo,ubmenshoops,64
4,south,4south,california,calmensbball,64
12,east,12east,chattanooga,gomocsmbb,64
9,west,9west,cincinnati,gobearcatsmbb,64
8,south,8south,colorado,cubuffsmbb,64
15,west,15west,csu bakersfield,csub_mbb,64
7,midwest,7midwest,dayton,daytonmbb,64
16,east,16east,fgcu,fgcu_mbb,64
14,midwest,14midwest,fresno state,fresnostatembb,64
14,west,14west,green bay,gbphoenixmbb,64
16,midwest,16midwest,hampton,hampton_mbb,64
16,west,16west,holy cross,hcrossmbb,64
13,midwest,13midwest,iona,ionagaelsmbb,64
2,midwest,2midwest,michigan state,msu_basketball,64
7,west,7west,oregon state,oregonstatembb,64
10,east,10east,pittsburgh,hailtopitthoops,64
5,midwest,5midwest,purdue,purduebball,64
6,midwest,6midwest,seton hall,setonhallmbb,64
12,south,12south,south dakota state,gojacksmbb,64
13,east,13east,stony brook,stonybrookmbb,64
10,south,10south,temple,tumbbhoops,64
6,west,6west,texas,texasmbb,64
8,midwest,8midwest,texas tech,texastechmbb,64
12,midwest,12midwest,ualr,littlerockmbb,64
15,south,15south,unc asheville,ashevilledogs,64
13,west,13west,uncw,uncwmenshoops,64
8,east,8east,usc,usc_hoops,64
15,east,15east,weber state,weberstatembb,64
3,east,3east,west virginia,wvuhoops,64
11,east,11east,michigan,umichbball,64
