seed,conference,seed_conference,team,twitter_handle,num_favorites,num_followers,num_friends,num_statuses,polarity_avg,retweet_avg
1,east,1east,villanova,novambb,4893,180410,476,12877,0.11942423791486291,52.87
2,east,2east,purdue,purduebball,607,12896,243,6065,0.1369983585858586,416.51
3,east,3east,texas tech,ttuhoopsfans,98927,8694,1809,27212,0.06881660954785955,72.85
4,east,4east,witchita state,goshockersmbb,1927,4970,288,2189,0.09288668831168831,17.24
5,east,5east,west virginia,wvuhoops,248,301952,58,10124,0.008938786676286673,74.6
6,east,6east,florida,gatorsmbk,3004,85184,660,22978,0.06720640933140933,54.62
7,east,7east,arkansas,razorbackmbb,948,162949,221,13991,0.014111381673881672,71.19
8,east,8east,virginia tech,hokiesmbb,3409,26635,129,11659,0.09727662037037038,27.67
9,east,9east,alabama,alabamambb,642,56444,122,9278,-0.04759299129689754,143.66
10,east,10east,butler,butlermbb,5285,65327,110,18604,0.07522121212121212,30.81
11,east,11east,Stbon,bonniesmbb,883,9860,146,10241,0.04362767857142858,32.75
11,east,11east,ucla,uclambb,203,72934,120,11968,0.028477314814814813,29.19
12,east,12east,murray state,racershoops,149,7748,952,3737,0.1103983326569264,42.91
13,east,13east,marshall,herdmbb,1480,10158,261,12240,0.12029725829725829,78.06
14,east,14east,sf austin,sfa_mbb,1371,15148,232,11582,0.21992168109668112,83.15
15,east,15east,cs fullerton,fullertonhoops,323,5176,192,5630,0.07531715367965368,29.59
16,east,16east,liu,liubasketball,1512,3070,179,5895,0.09012521306818183,42.11
16,east,16east,rad,radfordmbb,607,4546,117,5958,0.09735295815295815,33.4
1,midwest,1midwest,kansas,kuhoops,11752,921139,175,14128,0.07062352693602693,160.6
2,midwest,2midwest,duke,dukembb,5964,2239093,759,25370,0.10862698412698414,299.81
3,midwest,3midwest,michigan state,msu_basketball,168,418899,549,15722,0.09446347402597403,132.61
4,midwest,4midwest,auburn,auburnmbb,2729,41438,113,12495,0.07891847643097644,157.19
5,midwest,5midwest,clemson,clemsonmbb,2311,42127,683,12308,0.017388415404040406,31.1
6,midwest,6midwest,tcu,tcubasketball,1136,19821,397,9570,0.026929383116883122,21.6
7,midwest,7midwest,rhode island,rhodymbb,1557,10755,115,8098,0.0999185606060606,24.04
8,midwest,8midwest,seton hall,setonhallmbb,3576,13513,195,12821,0.07390863997113996,61.43
9,midwest,9midwest,nc state,packmensbball,412,94391,270,18279,0.02762984006734007,54.48
10,midwest,10midwest,Oklahoma,ou_mbball,8148,610325,2425,16114,0.07391342742905244,54.65
11,midwest,11midwest,asu,sundevilhoops,663,20541,321,18220,0.0834290404040404,302.99
11,midwest,11midwest,syr,cuse_mbb,395,242701,176,10807,0.03969002525252525,141.87
12,midwest,12midwest,new mexico state,nmstateaggies,1086,17013,198,24265,0.1790892065183081,37.27
13,midwest,13midwest,charleston,cofcbasketball,3606,7450,452,14192,0.16639496753246752,80.4
14,midwest,14midwest,bucknell,bucknell_mbb,177,4135,199,2571,0.09020386904761905,16.17
15,midwest,15midwest,iona,ionagaelsmbb,406,4204,208,3604,0.12455079816017317,13.56
16,midwest,16midwest,penn,pennbasketball,1194,7730,523,10266,0.1091597466480279,13.01
1,south,1south,virginia,uvamenshoops,539,154118,525,11456,0.13488590067340067,87.17
2,south,2south,Cincinnati,gobearcatsmbb,407,17070,331,3831,0.044746428571428576,67.77
3,south,3south,Tennessee,vol_hoops,2994,159801,1199,22168,0.07393650793650794,83.38
4,south,4south,arizona,aplayersprogram,4,243861,335,17201,0.02964890572390573,274.24
5,south,5south,kentucky,kentuckymbb,164,759558,604,27796,0.08505483405483405,236.65
6,south,6south,miami,caneshoops,3707,50876,356,21766,0.06514728234728234,82.73
7,south,7south,nevada,nevadahoops,2246,22672,426,8790,0.08364402958152958,31.94
8,south,8south,Creighton,bluejaymbb,2167,70656,302,10327,0.027889069264069265,14.51
9,south,9south,Kansas state,kstatembb,521,11646,273,4122,0.045673232323232324,28.84
10,south,10south,texas,texasmbb,2703,75459,124,18861,0.084147110990861,59.73
11,south,11south,Loyola,ramblersmbb,654,5533,192,5906,0.11960075456950457,37.83
12,south,12south,davidson,davidsonmbb,3179,7684,370,5329,0.07949801587301587,23.42
13,south,13south,buffalo,ubmenshoops,306,7863,101,2311,0.09410879329004328,42.05
14,south,14south,wright state,wsu_mbb,201,2031,70,1062,0.13348321608946612,33.1
15,south,15south,Georgia state,georgiastatembb,542,3000,126,4164,0.10176205507455506,32.44
16,south,16south,umbc,umbc_mbb,181,3772,235,2880,0.07604103986291487,25.39
1,west,1west,Xavier,xaviermbb,7577,36432,487,6084,0.0419179292929293,71.05
2,west,2west,north carolina,unc_basketball,180,937029,29,29384,0.03456872294372295,350.25
3,west,3west,michigan,umichbball,4004,282932,443,25301,0.16621081349206349,308.62
4,west,4west,Gonzaga,zagmbb,747,181336,532,7441,0.07113822751322753,56.39
5,west,5west,Ohio state,ohiostatehoops,2165,95160,706,2800,0.090650011754919,118.24
6,west,6west,Houston,uhcougarmbk,706,16426,270,26875,0.03515079365079365,40.15
7,west,7west,texas am,aggiembk,2565,40078,108,13405,0.0564521645021645,91.74
8,west,8west,Missouri,mizzouhoops,24,102852,171,16086,0.05665615981240981,76.26
9,west,9west,florida state,fsuhoops,1735,54397,446,20692,0.09490927128427128,34.58
10,west,10west,Providence,pcathletics,3155,29786,1469,18931,0.0704113455988456,15.6
11,west,11west,san diego state,aztec_mbb,95,4750,37,1909,0.05323787878787877,44.0
12,west,12west,South Dakota state,gojacksmbb,1067,10112,133,8983,0.06688632663632664,77.75
13,west,13west,unc greensboro,uncgbasketball,1621,6820,2534,6822,0.16102812819414378,38.19
14,west,14west,montana,montanagrizbb,644,6543,117,7304,0.07787996632996633,39.39
15,west,15west,lipscomb,lipscombmbb,1308,2902,684,4961,0.09338936988936988,33.06
16,west,16west,nccu,nccu_mbb,409,4089,238,3697,-0.05095787112193362,27.15
