seed,conference,seed_conference,team,twitter_handle,Unnamed: 5,num_favorites,num_followers,num_friends,num_statuses,polarity_avg,retweet_avg
1,east,1east,duke,dukembb,,6931,2217749,729,27865,0.0967369227994228,627.25
2,east,2east,michigan state,msu_basketball,,414,422989,572,19703,0.1044797619047619,131.54
3,east,3east,lsu,lsubasketball,,1768,58055,373,15692,0.0732206213924964,79.54
4,east,4east,virginia tech,hokiesmbb,,3686,31163,149,13292,0.22457043650793654,42.09
5,east,5east,mississippi state,hailstatembk,,414,46590,159,22213,0.059125,36.35
6,east,6east,maryland,terrapinhoops,,551,228181,243,11580,0.18207960534474207,50.78
7,east,7east,louisville,cardinalmbb,,485,1420,68,1055,0.8,7.62
8,east,8east,vcu,vcu_hoops,,5602,18668,203,7036,0.13830833333333334,30.39
9,east,9east,ucf,ucf_mbb,,5592,28605,335,14560,0.08350524891774891,39.01
10,east,10east,minnesota,gophermbb,,636,45974,362,16026,0.1551822007275132,24.41
11,east,11east,belmont,belmontmbb,,1487,10447,2325,12993,0.1646761904761905,31.22
12,east,12east,liberty,libertymbb,,3817,8281,512,7044,0.12628571428571428,129.71
13,east,13east,saint louis,saintlouismbb,,841,15401,498,9203,0.17998363095238099,34.09
14,east,14east,yale,yale_basketball,,955,6134,647,8122,0.10820602904040405,23.65
15,east,15east,bradley,bradleyumbb,,2538,4495,454,3911,0.041871500721500726,49.38
16,east,16east,north dakota state,ndsumbb,,992,10438,109,8241,0.1540402777777778,23.13
16,east,16east,ncc,nccbasketball,,1151,1353,138,11299,0.43333333333333335,0.32
1,midwest,1midwest,north carolina,unc_basketball,,350,958107,40,31290,0.06159207589285714,356.13
2,midwest,2midwest,kentucky,kentuckymbb,,399,771200,630,33364,0.18495833333333334,63.73
3,midwest,3midwest,houston,uhcougarmbk,,2170,23134,306,31024,-0.037727777777777784,24.95
4,midwest,4midwest,kansas,kuhoops,,11922,931874,179,15776,0.16555172258297257,56.78
